05/26/22 8:17:38: controlpanel-sidebar.scss - parse error: failed at `#sidebar` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/controlpanel-sidebar.scss on line 229, at column 1
05/27/22 12:58:53: page-mypage.scss - parse error: failed at `justify-content: ;` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/page-mypage.scss on line 357, at column 13
05/31/22 2:03:04: App-style.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: controlpanel-common.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: component-sidebar.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: component-modal.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: component-calendar.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: archive-index-child--test.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: footer-default.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: footer.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: header.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: mypageStatement.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: page-submissions.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: page-templateDesign.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: search.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: style.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: top.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: single-membership.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
